Spatial ID,Output DER Types,All Sectors,Act vs Sim,Output Periods,Incremental Count (Calibration),Cumulative Count (Calibration),Incremental MW-AC (Calibration),Cumulative MW-AC (Calibration)
92113,Solar PV,Residential,Actual,28-Feb-2012,1,29,0.0017,0.1636
92114,Solar PV,Residential,Actual,28-Feb-2012,3,67,0.0115,0.188449
92115,Solar PV,Residential,Actual,28-Feb-2012,5,171,0.0187,0.534148
92116,Solar PV,Residential,Actual,28-Feb-2012,1,118,0.0058,0.399607
92117,Solar PV,Residential,Actual,28-Feb-2012,8,274,0.0204,0.903747
92118,Solar PV,Residential,Actual,28-Feb-2012,1,103,0.004,0.437568
92119,Solar PV,Residential,Actual,28-Feb-2012,3,115,0.0099,0.4145
92120,Solar PV,Residential,Actual,28-Feb-2012,5,357,0.0296,0.966032
92121,Solar PV,Residential,Actual,28-Feb-2012,0,22,0,0.09508
92122,Solar PV,Residential,Actual,28-Feb-2012,1,116,0.0063,0.450079
92123,Solar PV,Residential,Actual,28-Feb-2012,3,91,0.0134,0.3361
92124,Solar PV,Residential,Actual,28-Feb-2012,4,127,0.0201,0.50165
92126,Solar PV,Residential,Actual,28-Feb-2012,6,138,0.0204,0.427771
92127,Solar PV,Residential,Actual,28-Feb-2012,7,395,0.0303,1.37007
92128,Solar PV,Residential,Actual,28-Feb-2012,4,197,0.0128,0.904552
92129,Solar PV,Residential,Actual,28-Feb-2012,3,300,0.0228,1.16458
92130,Solar PV,Residential,Actual,28-Feb-2012,6,493,0.0264,1.774704
92131,Solar PV,Residential,Actual,28-Feb-2012,8,382,0.0391,1.42579
92136,Solar PV,Residential,Actual,28-Feb-2012,0,0
92139,Solar PV,Residential,Actual,28-Feb-2012,1,21,0.0011,0.069112
92145,Solar PV,Residential,Actual,28-Feb-2012,0,0
92154,Solar PV,Residential,Actual,28-Feb-2012,1,79,0.0011,0.206834
92173,Solar PV,Residential,Actual,28-Feb-2012,2,19,0.0102,0.6625
92179,Solar PV,Residential,Actual,28-Feb-2012,0,0
92182,Solar PV,Residential,Actual,28-Feb-2012,0,0
92536,Solar PV,Residential,Actual,28-Feb-2012,0,0
92624,Solar PV,Residential,Actual,28-Feb-2012,0,15,0,0.0527
92629,Solar PV,Residential,Actual,28-Feb-2012,0,40,0,0.1893
92651,Solar PV,Residential,Actual,28-Feb-2012,0,22,0,0.103492
92653,Solar PV,Residential,Actual,28-Feb-2012,3,101,0.0125,0.55541
92656,Solar PV,Residential,Actual,28-Feb-2012,0,1,0,0.003
92672,Solar PV,Residential,Actual,28-Feb-2012,3,67,0.0088,0.233926
92673,Solar PV,Residential,Actual,28-Feb-2012,5,71,0.019,0.2813
92675,Solar PV,Residential,Actual,28-Feb-2012,2,119,0.007,0.500621
92676,Solar PV,Residential,Actual,28-Feb-2012,0,0
92677,Solar PV,Residential,Actual,28-Feb-2012,3,117,0.0206,0.518703
92679,Solar PV,Residential,Actual,28-Feb-2012,2,42,0.0101,0.2476
92688,Solar PV,Residential,Actual,28-Feb-2012,0,21,0,0.085
92691,Solar PV,Residential,Actual,28-Feb-2012,1,31,0.0049,0.133409
92692,Solar PV,Residential,Actual,28-Feb-2012,3,37,0.0122,0.1572
92694,Solar PV,Residential,Actual,28-Feb-2012,2,509,0.0074,0.999694
91901,Solar PV,Residential,Simulated,28-Feb-2012,8.40791548,244.39990031,0.06526133,1.54851525
91902,Solar PV,Residential,Simulated,28-Feb-2012,5.47682846,112.70839585,0.03459466,0.57817111
91905,Solar PV,Residential,Simulated,28-Feb-2012,0.39441584,7.76856389,0.00458167,0.05282789
91906,Solar PV,Residential,Simulated,28-Feb-2012,0.52124775,11.02038014,0.00306724,0.04170434
91910,Solar PV,Residential,Simulated,28-Feb-2012,5.89176142,129.55681926,0.02638572,0.47946916
91911,Solar PV,Residential,Simulated,28-Feb-2012,5.4550172,124.70408537,0.02554093,0.32520959
91913,Solar PV,Residential,Simulated,28-Feb-2012,9.54996664,142.68622849,0.04447339,0.3922202
91914,Solar PV,Residential,Simulated,28-Feb-2012,3.3785129,41.54222233,0.02063601,0.20456
91915,Solar PV,Residential,Simulated,28-Feb-2012,3.43109395,36.67356986,0.01707309,0.14734562
91916,Solar PV,Residential,Simulated,28-Feb-2012,0.41750023,17.80462175,0.00288608,0.10977717
91917,Solar PV,Residential,Simulated,28-Feb-2012,0.14763842,7.28190208,0.0011191,0.04996882
91931,Solar PV,Residential,Simulated,28-Feb-2012,0.02631061,1.05138676,0.00015475,0.00630225
91932,Solar PV,Residential,Simulated,28-Feb-2012,1.4660858,71.78053952,0.00605057,0.21848635
91934,Solar PV,Residential,Simulated,28-Feb-2012,0.07315891,1.14268514,0.00059449,0.00615946
91935,Solar PV,Residential,Simulated,28-Feb-2012,5.17503148,144.10653455,0.04512314,0.93463287
91941,Solar PV,Residential,Simulated,28-Feb-2012,10.58463299,241.67742512,0.06530862,1.12508851
91942,Solar PV,Residential,Simulated,28-Feb-2012,3.99055975,87.79849703,0.02112829,0.29944267
91945,Solar PV,Residential,Simulated,28-Feb-2012,2.6614962,51.20201385,0.01212817,0.17433106
91948,Solar PV,Residential,Simulated,28-Feb-2012,0,1,0,0.0012
91950,Solar PV,Residential,Simulated,28-Feb-2012,1.3727856,22.69055794,0.00581416,0.06709532
91962,Solar PV,Residential,Simulated,28-Feb-2012,0.35348291,7.69561588,0.00217175,0.02937377
