CEC Forecast Years,Spatial ID,Output DER Types,Value
2018,92040,Solar PV,11.32016774
2018,92054,Solar PV,3.60677662
2018,92055,Solar PV,1.29416122
2018,92056,Solar PV,7.52990937
2018,92057,Solar PV,6.29874297
2018,92058,Solar PV,1.92164687
2018,92059,Solar PV,0.7128274
2018,92060,Solar PV,0.04738079
2018,92061,Solar PV,2.15362273
2018,92064,Solar PV,20.7318224
2018,92065,Solar PV,14.69804866
2018,92066,Solar PV,0.05566956
2018,92067,Solar PV,6.36062615
2018,92068,Solar PV,0
2018,92069,Solar PV,7.8336597
2018,92070,Solar PV,0.13215509
2018,92071,Solar PV,12.59921509
2018,92072,Solar PV,0
2018,92075,Solar PV,2.03512158
2018,92078,Solar PV,7.3774855
2018,92081,Solar PV,5.8897073
2018,92082,Solar PV,10.36063754
2018,92083,Solar PV,3.31656909
2018,92084,Solar PV,7.71696026
2018,92085,Solar PV,0
2018,92086,Solar PV,0.32723656
2018,92091,Solar PV,0.25542863
2018,92092,Solar PV,0
2018,92093,Solar PV,0
2018,92096,Solar PV,0
2018,92101,Solar PV,2.2920799
2018,92102,Solar PV,1.7727123
2018,92103,Solar PV,2.43501218
2018,92104,Solar PV,2.12815587
2018,92105,Solar PV,3.23834562
2018,92106,Solar PV,3.98585047
2018,92107,Solar PV,1.70165404
2018,92108,Solar PV,2.87985071
2018,92109,Solar PV,2.73528199
2018,92110,Solar PV,4.3258094
2018,92111,Solar PV,6.59506531
2018,92112,Solar PV,0.00611625
2018,92113,Solar PV,2.71922405
2018,92114,Solar PV,5.63998557
2018,92115,Solar PV,5.33275424
2018,92116,Solar PV,2.0291696
2018,92117,Solar PV,5.48568187
2018,92118,Solar PV,2.83480689
2018,92119,Solar PV,4.29327081
2018,92120,Solar PV,6.73657981
2018,92121,Solar PV,4.41124349
2018,92122,Solar PV,3.29042405
2018,92123,Solar PV,7.81579144
2018,92124,Solar PV,3.47839606
2018,92126,Solar PV,8.02571016
2018,92127,Solar PV,13.29423062
2018,92128,Solar PV,6.49319334
2018,92129,Solar PV,8.61757018
2018,92130,Solar PV,12.01346158
2018,92131,Solar PV,10.23079847
2018,92132,Solar PV,0
2018,92136,Solar PV,1.12577008
2018,92139,Solar PV,2.94967396
2018,92145,Solar PV,0.02071168
2018,92152,Solar PV,0
2018,92154,Solar PV,8.03207071
2018,92158,Solar PV,0
2018,92161,Solar PV,0
2018,92173,Solar PV,1.91330652
2018,92179,Solar PV,0.13126815
2018,92182,Solar PV,0.03542284
2018,92199,Solar PV,0
2018,92536,Solar PV,0.03406611
2018,92624,Solar PV,0.34608207
2018,92629,Solar PV,1.35479294
2018,92651,Solar PV,0.26955794
2018,92653,Solar PV,4.43015976
2018,92656,Solar PV,0.2870442
2018,92672,Solar PV,4.23585522
2018,92673,Solar PV,5.73842145
2018,92674,Solar PV,0
2018,92675,Solar PV,4.96041475
2018,92676,Solar PV,0
2018,92677,Solar PV,4.27244544
2018,92679,Solar PV,3.2999666
2018,92688,Solar PV,1.25902293
2018,92690,Solar PV,0
2018,92691,Solar PV,2.82769356
2018,92692,Solar PV,2.45083417
2018,92693,Solar PV,0
2018,92694,Solar PV,5.1003766
2018,92697,Solar PV,0
2019,91901,Solar PV,7.80197584
2019,91902,Solar PV,4.97285645
2019,91905,Solar PV,0.41850822
2019,91906,Solar PV,0.89988464
2019,91910,Solar PV,8.85206636
2019,91911,Solar PV,7.6307784
2019,91913,Solar PV,7.90901625
2019,91914,Solar PV,5.45890895
2019,91915,Solar PV,5.22916296
2019,91916,Solar PV,0.45489235
2019,91917,Solar PV,0.17963877
2019,91931,Solar PV,0.02505525
2019,91932,Solar PV,1.66386361
2019,91934,Solar PV,0.04739054
2019,91935,Solar PV,4.97601881
2019,91941,Solar PV,7.50607908
2019,91942,Solar PV,6.06696324
2019,91945,Solar PV,2.91827113
2019,91948,Solar PV,0.0008209
2019,91950,Solar PV,3.29246218
2019,91962,Solar PV,0.34578376
2019,91963,Solar PV,0.11230588
2019,91977,Solar PV,8.16279747
2019,91978,Solar PV,2.12404705
2019,91980,Solar PV,0.03718353
2019,92003,Solar PV,2.31961908
2019,92004,Solar PV,2.51626337
2019,92007,Solar PV,1.35252515
2019,92008,Solar PV,4.26255066
2019,92009,Solar PV,12.66986468
2019,92010,Solar PV,2.83226804
2019,92011,Solar PV,3.80267521
2019,92014,Solar PV,3.47463726
2019,92019,Solar PV,13.47515045
2019,92020,Solar PV,10.5624891
2019,92021,Solar PV,12.272751
2019,92024,Solar PV,11.62176246
2019,92025,Solar PV,9.37823642
2019,92026,Solar PV,10.76814363
2019,92027,Solar PV,12.04037403
2019,92028,Solar PV,18.54781767
2019,92029,Solar PV,8.35240953
2019,92036,Solar PV,0.66551744
2019,92037,Solar PV,9.23155842
2019,92040,Solar PV,12.24619162
2019,92054,Solar PV,3.9924474
2019,92055,Solar PV,1.29416122
2019,92056,Solar PV,8.21583446
2019,92057,Solar PV,7.1293435
2019,92058,Solar PV,2.08515474
2019,92059,Solar PV,0.74891038
2019,92060,Solar PV,0.04994714
2019,92061,Solar PV,2.28541878
2019,92064,Solar PV,22.53323319
2019,92065,Solar PV,16.01671638
2019,92066,Solar PV,0.06481561
2019,92067,Solar PV,7.20104477
2019,92068,Solar PV,0
2019,92069,Solar PV,9.7858597
2019,92070,Solar PV,0.14400412
2019,92071,Solar PV,13.77537574
2019,92072,Solar PV,0.00000352
2019,92075,Solar PV,2.25702746
2019,92078,Solar PV,8.74528415
2019,92081,Solar PV,6.59804323
2019,92082,Solar PV,11.2768149
2019,92083,Solar PV,3.64289827
2019,92084,Solar PV,8.72513096
2019,92085,Solar PV,0.00000131
2019,92086,Solar PV,0.34335934
2019,92091,Solar PV,0.30472984
2019,92092,Solar PV,0.00028971
2019,92093,Solar PV,0.00000023
2019,92096,Solar PV,0.00008047
2019,92101,Solar PV,2.62300732
2019,92102,Solar PV,2.18573396
2019,92103,Solar PV,2.66340076
2019,92104,Solar PV,2.38411281
2019,92105,Solar PV,3.55765855
2019,92106,Solar PV,4.32094984
2019,92107,Solar PV,1.95504743
2019,92108,Solar PV,3.10997539
2019,92109,Solar PV,3.03685284
2019,92110,Solar PV,4.91238014
2019,92111,Solar PV,7.48011515
2019,92112,Solar PV,0.00639274
2019,92113,Solar PV,3.05785385
2019,92114,Solar PV,6.80833949
2019,92115,Solar PV,5.80765677
2019,92116,Solar PV,2.22890941
2019,92117,Solar PV,6.14938356
2019,92118,Solar PV,3.20725168
2019,92119,Solar PV,4.73148284
2019,92120,Solar PV,7.37608174
2019,92121,Solar PV,5.17007231
2019,92122,Solar PV,3.63072783
2019,92123,Solar PV,8.33685809
2019,92124,Solar PV,4.03671345
2019,92126,Solar PV,9.28128256
2019,92127,Solar PV,14.75044674
2019,92128,Solar PV,7.28068672
2019,92129,Solar PV,9.51523071
2019,92130,Solar PV,13.94974302
2019,92131,Solar PV,11.05906136
2019,92132,Solar PV,0.0000071
2019,92136,Solar PV,1.15761096
2019,92139,Solar PV,3.36345619
2019,92145,Solar PV,0.07357532
2019,92152,Solar PV,0.0000013
2019,92154,Solar PV,9.47169659
2019,92158,Solar PV,0.00009338
2019,92161,Solar PV,0.00000003
2019,92173,Solar PV,2.54077168
2019,92179,Solar PV,0.15245918
2019,92182,Solar PV,0.03542922
2019,92199,Solar PV,0.00012366
2019,92536,Solar PV,0.0371603
2019,92624,Solar PV,0.41824027
2019,92629,Solar PV,1.54337155
2019,92651,Solar PV,0.29979653
2019,92653,Solar PV,4.94028145
2019,92656,Solar PV,0.30071112
2019,92672,Solar PV,4.55530719
2019,92673,Solar PV,6.39971193
2019,92674,Solar PV,0.00000178
2019,92675,Solar PV,5.59481948
2019,92676,Solar PV,0.00000278
2019,92677,Solar PV,5.02373525
2019,92679,Solar PV,3.70825079
2019,92688,Solar PV,1.40308017
2019,92690,Solar PV,0.00000325
2019,92691,Solar PV,3.07176645
2019,92692,Solar PV,2.72167343
2019,92693,Solar PV,0.00000009
2019,92694,Solar PV,5.87798508
2019,92697,Solar PV,0
2020,91901,Solar PV,8.37376219
2020,91902,Solar PV,5.48537216
2020,91905,Solar PV,0.44263174
2020,91906,Solar PV,0.97799641
2020,91910,Solar PV,9.67685581
2020,91911,Solar PV,8.6755567
2020,91913,Solar PV,8.65119944
2020,91914,Solar PV,5.9296413
2020,91915,Solar PV,5.69609501
2020,91916,Solar PV,0.49149052
2020,91917,Solar PV,0.19041346
2020,91931,Solar PV,0.02581955
2020,91932,Solar PV,1.80206541
2020,91934,Solar PV,0.05426049
2020,91935,Solar PV,5.38225669
2020,91941,Solar PV,8.07068504
2020,91942,Solar PV,6.6138865
2020,91945,Solar PV,3.27827737
2020,91948,Solar PV,0.00082125
2020,91950,Solar PV,3.57762308
2020,91962,Solar PV,0.39441933
2020,91963,Solar PV,0.12514678
2020,91977,Solar PV,9.1627124
2020,91978,Solar PV,2.44294935
2020,91980,Solar PV,0.04286925
2020,92003,Solar PV,2.52340291
2020,92004,Solar PV,2.68344339
2020,92007,Solar PV,1.4948629
2020,92008,Solar PV,4.93054298
2020,92009,Solar PV,13.76829269
2020,92010,Solar PV,3.17248716
2020,92011,Solar PV,4.18536301
2020,92014,Solar PV,3.83164058
2020,92019,Solar PV,14.71403707
2020,92020,Solar PV,11.63785568
2020,92021,Solar PV,13.4837431
2020,92024,Solar PV,12.95206028
2020,92025,Solar PV,10.34667065
2020,92026,Solar PV,11.7804849
2020,92027,Solar PV,13.470723
2020,92028,Solar PV,20.21649256
2020,92029,Solar PV,9.06658718
2020,92036,Solar PV,0.72505003
2020,92037,Solar PV,10.03131141
2020,92040,Solar PV,13.10517111
2020,92054,Solar PV,4.4531206
2020,92055,Solar PV,1.29416122
2020,92056,Solar PV,8.94545755
2020,92057,Solar PV,7.94155619
2020,92058,Solar PV,2.28992965
2020,92059,Solar PV,0.80321672
2020,92060,Solar PV,0.05478048
2020,92061,Solar PV,2.40256138
2020,92064,Solar PV,24.45104585
2020,92065,Solar PV,17.26725932
2020,92066,Solar PV,0.07257573
2020,92067,Solar PV,7.97888942
2020,92068,Solar PV,0
2020,92069,Solar PV,10.66830183
2020,92070,Solar PV,0.15791291
2020,92071,Solar PV,14.89747675
2020,92072,Solar PV,0.00001352
2020,92075,Solar PV,2.50321146
2020,92078,Solar PV,9.95466742
2020,92081,Solar PV,7.22589987
2020,92082,Solar PV,12.17080016
2020,92083,Solar PV,4.01240619
2020,92084,Solar PV,9.73413203
2020,92085,Solar PV,0.0000051
2020,92086,Solar PV,0.36732422
2020,92091,Solar PV,0.36004449
2020,92092,Solar PV,0.00099229
2020,92093,Solar PV,0.0000009
2020,92096,Solar PV,0.00030928
2020,92101,Solar PV,2.93821393
2020,92102,Solar PV,2.4472318
2020,92103,Solar PV,2.83881767
2020,92104,Solar PV,2.69874964
2020,92105,Solar PV,4.01560516
2020,92106,Solar PV,4.64572092
2020,92107,Solar PV,2.20824125
2020,92108,Solar PV,3.38355444
2020,92109,Solar PV,3.34628814
2020,92110,Solar PV,5.2322146
2020,92111,Solar PV,8.04505482
2020,92112,Solar PV,0.0069345
2020,92113,Solar PV,3.5578061
2020,92114,Solar PV,7.77439552
2020,92115,Solar PV,6.30144313
2020,92116,Solar PV,2.39569408
2020,92117,Solar PV,6.84025989
2020,92118,Solar PV,3.40566878
2020,92119,Solar PV,5.18591802
2020,92120,Solar PV,8.08359014
2020,92121,Solar PV,5.74649176
2020,92122,Solar PV,3.98214081
2020,92123,Solar PV,8.80826817
2020,92124,Solar PV,4.28176176
2020,92126,Solar PV,10.13561409
2020,92127,Solar PV,16.25787999
2020,92128,Solar PV,7.90134398
2020,92129,Solar PV,10.43080042
2020,92130,Solar PV,15.51531231
2020,92131,Solar PV,11.89576371
2020,92132,Solar PV,0.00002755
2020,92136,Solar PV,1.21883925
2020,92139,Solar PV,3.83998233
2020,92145,Solar PV,0.07519456
2020,92152,Solar PV,0.00000506
2020,92154,Solar PV,10.73882916
2020,92158,Solar PV,0.00035893
2020,92161,Solar PV,0.00000011
2020,92173,Solar PV,2.75839808
2020,92179,Solar PV,0.18962236
2020,92182,Solar PV,0.03544759
2020,92199,Solar PV,0.0004753
2020,92536,Solar PV,0.03852805
2020,92624,Solar PV,0.48752387
2020,92629,Solar PV,1.71573339
2020,92651,Solar PV,0.3266474
2020,92653,Solar PV,5.42834681
2020,92656,Solar PV,0.32489553
2020,92672,Solar PV,4.96267483
2020,92673,Solar PV,7.09350831
2020,92674,Solar PV,0.00000692
2020,92675,Solar PV,6.35574893
2020,92676,Solar PV,0.00001094
2020,92677,Solar PV,5.61999106
2020,92679,Solar PV,4.07771996
2020,92688,Solar PV,1.56716999
2020,92690,Solar PV,0.0000126
2020,92691,Solar PV,3.50669562
2020,92692,Solar PV,2.98277807
2020,92693,Solar PV,0.00000036
2020,92694,Solar PV,6.65496525
2020,92697,Solar PV,0.00000001
2021,91901,Solar PV,8.76712665
2021,91902,Solar PV,5.87764674
2021,91905,Solar PV,0.4524387
2021,91906,Solar PV,1.02548159
2021,91910,Solar PV,10.43098102
2021,91911,Solar PV,9.85504789
2021,91913,Solar PV,9.1925447
2021,91914,Solar PV,6.2336646
2021,91915,Solar PV,6.05323107
2021,91916,Solar PV,0.51833278
2021,91917,Solar PV,0.19588025
2021,91931,Solar PV,0.02644911
2021,91932,Solar PV,1.94001341
2021,91934,Solar PV,0.06301892
2021,91935,Solar PV,5.66984695
2021,91941,Solar PV,8.44570887
2021,91942,Solar PV,7.14187001
2021,91945,Solar PV,3.61723094
2021,91948,Solar PV,0.00082125
2021,91950,Solar PV,3.82377714
2021,91962,Solar PV,0.44164017
2021,91963,Solar PV,0.13271693
2021,91977,Solar PV,10.0619141
2021,91978,Solar PV,2.78975234
2021,91980,Solar PV,0.05151895
2021,92003,Solar PV,2.67645184
2021,92004,Solar PV,2.86263908
2021,92007,Solar PV,1.6256275
2021,92008,Solar PV,5.68482931
2021,92009,Solar PV,14.62444676
2021,92010,Solar PV,3.45702795
2021,92011,Solar PV,4.52103111
2021,92014,Solar PV,4.2056264
2021,92019,Solar PV,15.89383378
2021,92020,Solar PV,12.68502261
2021,92021,Solar PV,14.58548137
2021,92024,Solar PV,14.26590719
2021,92025,Solar PV,11.33527523
2021,92026,Solar PV,12.63252039
2021,92027,Solar PV,14.76163826
